Depth	Temperature
m	ºC
39.33	15.4973
39.38	15.4992
39.43	15.5006
39.48	15.5015
39.53	15.5048
39.58	15.507
39.63	15.5129
39.68	15.5101
39.73	15.5112
39.78	15.5115
39.83	15.5119
39.88	15.5119
39.93	15.5118
39.98	15.5127
40.03	15.5149
40.08	15.5166
40.13	15.5174
40.18	15.5183
40.23	15.5222
40.28	15.5314
40.33	15.5381
40.38	15.5424
40.43	15.5451
40.48	15.5481
40.53	15.5502
40.58	15.5528
40.63	15.5563
40.68	15.5583
40.73	15.5607
40.78	15.563
40.83	15.5632
40.88	15.5643
40.93	15.5678
40.98	15.5703
41.03	15.5718
41.08	15.5746
41.13	15.5764
41.18	15.5771
41.23	15.5771
41.28	15.5766
41.33	15.577
41.38	15.5768
41.43	15.5766
41.48	15.5775
41.53	15.5785
41.58	15.5791
41.63	15.5806
41.68	15.5819
41.73	15.5838
41.78	15.5862
41.83	15.5888
41.88	15.5918
41.93	15.5932
41.98	15.5942
42.03	15.596
42.08	15.598
42.13	15.6035
42.18	15.6068
42.23	15.6098
42.28	15.6141
42.33	15.616
42.38	15.6214
42.43	15.6172
42.48	15.6173
42.53	15.619
42.58	15.6206
42.63	15.6233
42.68	15.6255
42.73	15.627
42.78	15.6289
42.83	15.6302
42.88	15.631
42.93	15.6306
42.98	15.632
43.03	15.6336
43.08	15.6336
43.13	15.6331
43.18	15.6347
43.23	15.6375
43.28	15.6401
43.33	15.642
43.38	15.6411
43.43	15.6416
43.48	15.6438
43.53	15.6459
43.58	15.6484
43.63	15.6526
43.68	15.6583
43.73	15.661
43.78	15.6636
43.83	15.6667
43.88	15.6748
43.93	15.682
43.98	15.6866
44.03	15.6893
44.08	15.6913
44.13	15.6918
44.18	15.6931
44.23	15.6928
44.28	15.693
44.33	15.694
44.38	15.6935
44.43	15.6931
44.48	15.6939
44.53	15.6948
44.58	15.697
44.63	15.6977
44.68	15.6998
44.73	15.7071
44.78	15.7114
44.83	15.7131
44.88	15.7161
44.93	15.72
44.98	15.7223
45.03	15.7225
45.08	15.7225
45.13	15.7205
45.18	15.7216
45.23	15.7266
45.28	15.7309
45.33	15.734
45.38	15.7358
45.43	15.7364
45.48	15.7362
45.53	15.7359
45.58	15.7347
45.63	15.7357
45.68	15.7367
45.73	15.7384
45.78	15.7382
45.83	15.7392
45.88	15.7412
45.93	15.7424
45.98	15.7431
46.03	15.7461
46.08	15.7485
46.13	15.7515
46.18	15.755
46.23	15.7559
46.28	15.7582
