Depth	Temperature
m	'C
41.60	19.8491
41.65	19.848
41.70	19.8485
41.75	19.8497
41.80	19.8504
41.85	19.8509
41.90	19.8521
41.95	19.8516
42.00	19.8518
42.05	19.8521
42.10	19.852
42.15	19.8539
42.20	19.8546
42.25	19.8556
42.30	19.8555
42.35	19.8554
42.40	19.856
42.45	19.8568
42.50	19.8573
42.55	19.8586
42.60	19.8591
42.65	19.859
42.70	19.8606
42.75	19.861
42.80	19.8613
42.85	19.8638
42.90	19.8642
42.95	19.8637
43.00	19.8649
43.05	19.8646
43.10	19.8657
43.15	19.8656
43.20	19.8662
43.25	19.8666
43.30	19.8676
43.35	19.8664
43.40	19.8704
43.45	19.8696
43.50	19.8695
43.55	19.8709
43.60	19.8729
43.65	19.8739
43.70	19.8744
43.75	19.8739
43.80	19.8761
43.85	19.8777
43.90	19.877
43.95	19.8784
44.00	19.8787
44.05	19.8803
44.10	19.8814
44.15	19.8824
44.20	19.8852
44.25	19.8921
44.30	19.8944
44.35	19.8991
44.40	19.9017
44.45	19.9061
44.50	19.9104
44.55	19.9147
44.60	19.9229
44.65	19.9297
44.70	19.9348
44.75	19.9382
44.80	19.9419
44.85	19.9437
44.90	19.9443
44.95	19.9458
45.00	19.9463
45.05	19.9488
45.10	19.9488
45.15	19.9525
45.20	19.9525
45.25	19.9518
45.30	19.9521
45.35	19.9516
45.40	19.9542
45.45	19.9552
45.50	19.9584
45.55	19.9589
45.60	19.959
45.65	19.9605
45.70	19.965
45.75	19.9668
45.80	19.9676
45.85	19.9683
45.90	19.9698
45.95	19.9734
46.00	19.9767
46.05	19.9801
46.10	19.9808
46.15	19.9828
46.20	19.9822
46.25	19.9829
46.30	19.9829
46.35	19.9831
46.40	19.9828
46.45	19.9827
46.50	19.9821
46.55	19.9831
46.60	19.9859
46.65	19.988
46.70	19.9898
46.75	19.9927
46.80	19.9935
46.85	19.9942
46.90	19.9942
46.95	19.9951
47.00	19.9952
47.05	19.9954
47.10	19.9957
47.15	19.9981
47.20	19.9958
47.25	19.9946
47.30	19.9951
47.35	19.9977
47.40	19.9989
47.45	20.0012
47.50	20.0005
47.55	20.0008
47.60	20.0013
47.65	20.0028
47.70	20.0038
47.75	20.0048
47.80	20.006
47.85	20.0055
47.90	20.0043
47.95	20.0056
48.00	20.0078
48.05	20.0082
48.10	20.0084
48.15	20.0094
48.20	20.0089
48.25	20.0102
48.30	20.0135
48.35	20.0146
48.40	20.0176
48.45	20.0183
48.50	20.0185
48.55	20.0192
48.60	20.0213
48.65	20.0217
48.70	20.0226
48.75	20.0231
48.80	20.0234
48.85	20.0252
48.90	20.0262
48.95	20.0283
49.00	20.0301
49.05	20.0283
49.10	20.0288
49.15	20.0288
49.20	20.0318
49.25	20.0331
49.30	20.0349
49.35	20.0354
49.40	20.036
49.45	20.0352
49.50	20.0363
49.55	20.0374
49.60	20.0393
49.65	20.0417
49.70	20.0432
49.75	20.0443
49.80	20.0446
49.85	20.047
49.90	20.0503
49.95	20.0543
50.00	20.0571
50.05	20.0588
50.10	20.0616
50.15	20.0644
50.20	20.0676
50.25	20.071
50.30	20.0723
50.35	20.0729
50.40	20.0728
50.45	20.0728
50.50	20.0744
50.55	20.0742
50.60	20.0757
50.65	20.0763
50.70	20.0753
50.75	20.0744
50.80	20.0747
50.85	20.0792
50.90	20.0819
50.95	20.0838
51.00	20.083
51.05	20.0832
51.10	20.0825
51.15	20.0823
51.20	20.0828
51.25	20.0871
51.30	20.0912
51.35	20.0943
51.40	20.0949
51.45	20.0934
51.50	20.0932
51.55	20.0932
51.60	20.0926
51.65	20.0934
51.70	20.0934
51.75	20.0937
51.80	20.0964
51.85	20.1009
51.90	20.1021
51.95	20.1037
52.00	20.1027
52.05	20.1034
52.10	20.1046
52.15	20.105
52.20	20.1069
52.25	20.1109
52.30	20.1128
52.35	20.1127
52.40	20.1138
52.45	20.1134
52.50	20.1141
52.55	20.1133
52.60	20.1132
52.65	20.1155
52.70	20.1168
52.75	20.1185
52.80	20.1206
52.85	20.1204
52.90	20.1248
52.95	20.1259
53.00	20.1286
53.05	20.129
53.10	20.1346
53.15	20.1376
53.20	20.142
53.25	20.1437
53.30	20.1462
53.35	20.1466
53.40	20.1456
53.45	20.1468
53.50	20.1462
53.55	20.1461
53.60	20.1453
53.65	20.1471
53.70	20.1466
53.75	20.1497
53.80	20.1534
53.85	20.1543
53.90	20.1551
53.95	20.1552
54.00	20.1547
54.05	20.1553
54.10	20.155
54.15	20.1563
54.20	20.1588
54.25	20.1589
54.30	20.162
54.35	20.1643
54.40	20.1674
54.45	20.1679
54.50	20.1709
54.55	20.1744
54.60	20.1762
54.65	20.1809
54.70	20.1842
54.75	20.186
54.80	20.1893
54.85	20.1898
54.90	20.1898
54.95	20.1905
55.00	20.1917
55.05	20.1944
55.10	20.1969
55.15	20.1994
55.20	20.2018
55.25	20.2014
55.30	20.2014
55.35	20.2003
55.40	20.201
55.45	20.2021
55.50	20.2043
55.55	20.2055
55.60	20.2058
55.65	20.205
55.70	20.2051
55.75	20.2051
55.80	20.2061
55.85	20.2089
55.90	20.2103
55.95	20.2139
56.00	20.2181
56.05	20.219
56.10	20.2231
56.15	20.2259
56.20	20.2296
56.25	20.2297
56.30	20.2316
56.35	20.2328
56.40	20.2335
56.45	20.2341
56.50	20.2357
56.55	20.236
56.60	20.2365
56.65	20.238
56.70	20.2383
56.75	20.2361
56.80	20.2362
56.85	20.2387
56.90	20.2419
56.95	20.2446
57.00	20.2467
57.05	20.2472
57.10	20.2471
57.15	20.2504
57.20	20.2542
57.25	20.2573
57.30	20.2614
57.35	20.2617
57.40	20.2646
57.45	20.2668
57.50	20.2676
57.55	20.2685
57.60	20.267
57.65	20.2665
57.70	20.267
57.75	20.2661
57.80	20.2668
57.85	20.2691
57.90	20.2716
57.95	20.2725
58.00	20.2726
58.05	20.2729
58.10	20.2727
58.15	20.2725
58.20	20.2732
58.25	20.2753
58.30	20.2765
58.35	20.2793
58.40	20.284
58.45	20.2899
58.50	20.2933
58.55	20.2953
58.60	20.2976
58.65	20.2984
58.70	20.298
58.75	20.2971
58.80	20.2971
58.85	20.2971
58.90	20.2973
58.95	20.2973
59.00	20.3003
59.05	20.3032
59.10	20.3067
59.15	20.3075
59.20	20.3085
59.25	20.31
59.30	20.3098
59.35	20.3093
